electricity_facility [W],gas_facility [W]
7771.334878,896.6071803
7716.379152,588.1015492
7710.150898,196.9381434
7622.54385,0
8007.531787,0
7906.648717,0
7876.476804,0
7877.884507,0
7925.385567,0
7983.197915,0
7978.437851,0
7930.876864,0
7236.077163,0
6538.02274,0
5911.03866,0
5662.762934,248.5399242
5556.408514,287.2588304
5453.590982,327.101224
5390.996779,368.0347409
5355.02246,412.1159323
4908.128024,460.4412945
4936.261274,604.0557651
4918.753682,707.5836811
4867.278184,768.2232058
4770.788505,748.7483996
4656.274409,728.9994128
4595.207186,705.839656
4572.775364,682.5868617
4563.143928,657.978074
4566.7213,637.6930661
4613.895964,620.562028
4694.271981,607.9295144
4799.570639,606.8490736
4924.255234,611.4644665
5030.520268,620.3327655
5127.681251,631.5533183
5226.200094,667.6191797
5326.448028,706.4947212
5430.583129,747.3156787
5531.879495,789.419088
816.9986509,0
816.9986509,0
816.9986509,0
816.9986509,0
816.9986509,0
816.9986509,0
816.9986509,0
816.9986509,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
829.713167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
20239.37634,20049.96867
20046.06119,11168.18996
17792.05404,9693.053535
16358.1411,9519.482892
15682.71153,9015.888499
14933.78845,8480.321799
14394.97415,8226.446866
13619.38214,7922.723204
14295.83595,7433.979865
13460.18803,6948.861308
12889.23973,6739.743031
12444.64139,6468.684801
12134.99138,6217.358987
11871.64695,6035.208325
11354.55791,5818.384561
10777.4294,5599.028327
10140.72724,5373.171462
9567.694296,5154.963355
9249.815095,4991.103954
9008.211286,4773.770577
8831.149972,4589.830118
8677.22225,4420.432823
8547.870642,4241.272678
8437.784846,4064.590822
8508.178961,3891.97978
8449.570753,3728.035659
8372.413405,3594.079805
8276.487231,3467.558499
8017.130595,3348.121142
7929.39645,3216.49228
7850.439319,3063.734465
7768.169098,2915.222103
7671.859944,2781.104383
7560.232071,2656.640617
7497.422203,2530.123813
7483.900959,2403.868998
7540.557742,2294.806465
7627.442394,2205.906772
7577.438413,2136.909356
7442.246022,2074.735519
7327.586677,2075.504082
7263.864702,2055.483709
7245.452658,2023.320876
7272.768031,1976.293106
6204.432485,2038.802771
6681.488172,2325.334578
7528.887549,2475.90477
7818.994666,2574.333111
7661.085103,2639.638169
7997.774742,2819.276446
8229.624378,2941.824714
8419.794915,3003.951489
8563.983804,3058.470848
8678.356131,3119.767602
8770.292951,3181.130716
8846.253872,3239.607397
8625.099213,3302.289257
8699.740908,3421.390953
8761.672885,3510.495635
8816.209111,3572.527776
8863.065347,3627.687922
8905.638856,3686.570438
8945.238072,3745.411433
8982.883867,3802.931482
1192.093302,0
1192.093302,0
1192.093302,0
1192.093302,0
1037.950651,0
1037.950651,0
1037.950651,0
1037.950651,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
18857.05766,16823.86932
18401.6707,9723.759432
15685.59209,8405.721758
14662.51174,8139.133651
14163.90467,7852.498445
13560.73942,7326.477954
13123.19281,7066.972697
12005.5652,6738.528917
12344.19313,6277.215075
11195.5227,5815.517761
10435.18523,5563.245915
9735.130942,5313.4492
9108.396135,5021.955904
8652.301737,4694.910869
8375.121794,4340.670765
8169.318812,4033.04609
7931.159851,3776.824115
7725.905964,3436.314717
7575.775627,3123.361507
7463.826475,2842.618772
7359.505805,2548.799091
7262.988026,2267.074178
7173.019462,1986.788765
7106.293816,1701.751935
7025.456731,1409.880714
6974.456614,1112.866252
6916.593792,853.0800899
6865.461085,599.5687067
6870.418895,390.3066303
6889.870239,0
6823.559786,0
6773.2068,0
6721.495306,0
6647.189101,0
6586.116683,0
6578.648323,0
6570.077626,0
6562.341373,0
6554.140296,0
6545.31837,0
6540.759831,0
6537.803151,0
6533.107965,0
6536.271709,0
4540.912096,0
4566.776071,0
4664.054608,0
4856.444438,0
4514.995608,0
4988.905687,0
5280.593477,0
5472.329645,275.5209189
5704.652378,410.0474832
5886.480251,550.9548381
6050.718779,694.0737411
6197.088087,831.1753734
6034.966068,962.6119092
6167.738875,1153.519419
6284.921135,1312.383155
6393.180414,1438.555801
6494.552527,1560.424222
6588.992166,1686.108217
6678.590774,1811.866356
6764.963336,1935.620799
1192.093302,0
1192.093302,0
1192.093302,0
1192.093302,0
1037.950651,0
1037.950651,0
1037.950651,0
1037.950651,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
14330.97958,10602.41995
13212.14447,6130.594602
12131.59231,5340.083396
10758.55037,4962.135975
10692.09752,4850.077252
10321.40473,4378.863072
10052.81082,4239.39962
9608.215506,4101.460552
10667.95398,3820.025658
10187.10272,3388.611483
9741.065146,3215.442974
9331.512656,3085.989267
8944.620617,2939.496624
8547.969431,2805.03596
8262.987889,2672.523538
8017.303184,2542.954914
7787.765376,2413.272288
7602.437485,2281.754394
7506.14134,2169.136321
7454.549376,2064.412104
7433.230377,1953.635063
7456.051961,1863.785927
7489.566861,1791.453647
7537.450311,1734.160727
7912.0887,1685.825589
8047.456404,1641.734266
8069.67762,1601.670736
8021.29965,1557.481229
7638.047216,1498.351658
7502.532842,1430.617691
7413.005939,1354.734239
7352.27206,1278.663407
7297.134639,1201.571232
7245.840273,1126.680711
7238.600609,1051.966757
7263.503637,980.2558543
7306.821518,921.2237129
7375.103528,870.0214394
7419.176932,825.426439
7443.577227,782.7428351
7467.990874,766.4575624
7477.570898,750.3136584
7512.585188,734.400412
7556.539116,719.9380439
6587.117354,707.9969804
6803.03191,938.1896945
7066.650839,1059.883697
7248.754694,1077.251618
6885.124323,1086.308265
7034.708538,1226.169743
7137.929513,1303.512846
7218.706746,1317.745304
7280.824393,1325.973989
7330.327695,1342.444389
7370.457181,1359.291002
7403.597469,1373.135103
7142.272852,1385.491317
7182.357303,1456.857944
7213.741033,1496.894757
7240.015777,1507.926059
7261.451718,1517.030793
7279.712476,1530.162626
7295.901176,1543.313482
7310.555521,1554.908266
1192.093302,0
1192.093302,0
1192.093302,0
1192.093302,0
1037.950651,0
1037.950651,0
1037.950651,0
1037.950651,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
14269.41483,10057.84269
13355.85644,5799.937637
12331.72149,5091.87703
11004.59365,4812.339913
10972.84526,4778.805913
10634.77691,4383.712903
10396.12536,4313.934948
10099.53411,4250.097418
11291.07798,4049.83407
10912.69405,3682.437595
10611.85317,3627.886274
10352.87855,3586.004178
10111.14737,3547.53477
9882.237227,3495.609362
9646.087293,3448.528539
